names	edited_features	longest_gene_isoform
AT1G18650	1464	2350
AT5G37530	350	2824
AT5G53000	1274	2725
AT3G26570	1373	2694
AT1G80560	1464	2536
AT5G16750	1488	5119
AT5G36890	973	4940
AT5G23940	15462	3554
AT5G17700	48	3420
AT3G23330	405	2352
AT3G02832	22	942
AT3G25230	6788	3534
AT1G07128	2	1168
AT2G44370	1	1170
AT3G07840	3	1672
AT2G37180	830	1520
AT5G04940	810	3010
AT2G25850	805	5463
AT5G58920	975	1116
AT2G22890	12	1243
AT3G05570	458	1237
AT3G01945	2	223
AT4G26270	611	3662
AT3G24495	1162	5945
AT4G25930	1	1266
AT3G48110	924	8176
AT1G21590	1254	3785
AT4G10200	1	2652
AT5G50110	221	2761
AT1G01225	180	1472
AT1G59700	45	1723
AT2G07713	1	368
AT1G66930	6	3132
AT3G47360	134	2097
AT5G60990	948	3010
AT1G09812	8	1412
AT1G32400	2493	2524
AT4G25450	359	4395
AT5G61110	1	1052
AT5G46740	1141	3527
AT1G26830	2134	3064
AT2G22370	389	1426
AT5G13460	246	2655
AT4G23882	150	1340
AT5G08315	489	692
AT1G27630	989	3283
AT5G55820	2233	7778
AT5G08290	3651	1348
AT1G04273	13	143
AT5G45220	2	2330
AT3G60730	14	2383
AT1G12805	9	559
AT3G17330	684	3341
AT1G18100	1	2977
AT1G06440	135	1908
AT3G55730	301	2236
AT5G16480	157	1870
AT3G12870	1056	921
AT1G07310	1076	1849
AT4G07990	328	4543
AT1G57770	90	3204
AT5G37750	57	1303
AT3G50900	39	1029
AT2G37880	242	1038
AT3G27550	385	2504
AT2G32750	120	1696
AT3G27999	74	639
AT5G41390	5	2180
AT2G07674	52	974
AT2G39970	1213	2983
AT3G08585	2	255
AT1G17220	1778	5493
AT5G47100	552	2664
AT1G28590	1	2067
AT1G18840	1498	3753
AT3G62520	1	2117
AT1G29840	172	2134
AT2G14670	1	1711
AT4G33960	63	614
AT5G44740	238	4163
AT4G32110	13	803
AT5G03740	6005	2430
AT1G10330	137	1551
AT2G02500	545	2830
AT2G25220	16	3141
AT1G62410	1	954
AT4G33270	3821	2768
AT3G05200	112	1890
AT5G40150	561	1539
AT2G21600	1471	2163
AT1G72290	27202	1070
AT5G62290	921	1956
AT1G79280	4461	14008
AT5G64180	641	1622
AT1G08990	4	2538
AT5G59290	1505	2826
AT2G30660	1	3425
AT1G56200	1415	1447
AT2G27110	1330	4149
AT3G44430	773	1493
AT3G10370	923	2931
AT5G63820	39	1317
AT5G62500	791	2669
AT2G31510	1722	5020
AT2G34970	1384	2547
AT4G24130	1287	1011
AT4G38200	2213	7526
AT1G04960	455	3148
AT1G47240	426	2702
AT1G07780	3192	2906
AT4G29700	6353	2172
AT3G18773	13	1427
AT5G37770	1322	2105
AT5G51310	1	2100
AT1G80210	267	2626
AT5G45745	1	71
AT1G72800	11	1411
AT3G19180	1099	4655
AT3G61530	215	2385
AT5G11870	51	2153
AT3G22100	55	831
AT2G48110	1375	6418
AT1G24180	2373	3082
AT4G13950	371	751
AT5G21430	51	1460
AT3G10160	956	5232
AT3G28030	725	7176
AT3G62150	8	5275
AT1G77145	2	1605
AT3G20898	24	999
AT4G21960	12550	2535
AT3G46940	1371	872
AT1G61667	62	1181
AT1G24148	3	1342
AT4G36050	211	3254
AT4G11370	40	954
AT4G16680	112	3655
AT3G32021	1	4017
AT5G25800	287	3320
AT5G17860	39	2138
AT2G06830	7	3567
AT5G55230	5056	3636
AT2G03505	330	1520
AT5G63880	294	1765
AT1G01180	4	1455
AT1G78410	3	1356
AT5G53730	14	1381
AT1G60680	18	1695
AT1G01570	542	2707
AT3G48835	8	2799
AT4G13820	5	2908
AT3G23180	3	1753
AT1G56423	351	2027
AT2G31450	380	3085
AT1G09490	574	2013
AT3G09155	13	563
AT1G68830	451	3250
AT3G22590	870	2004
AT3G15820	898	2938
AT1G09750	1703	1647
AT2G30640	91	2264
AT1G68640	88	3074
AT1G68730	175	859
AT1G03980	80	2797
AT5G44910	13	1408
AT5G10610	239	1682
AT2G02955	266	2635
AT2G33390	421	2125
AT2G02510	1594	1726
AT3G08210	3	78
AT4G02670	463	2624
AT3G54170	824	2919
AT5G40640	1233	3382
AT2G26910	3592	6944
AT2G33150	5553	3922
AT5G45630	24	846
AT1G64100	13	3978
AT5G52210	396	2106
AT5G14150	249	1853
AT3G22250	198	2476
AT4G35110	203	2834
AT4G38800	2736	2015
AT1G11840	7010	2807
AT2G16586	1702	1134
AT3G58570	3131	4328
AT1G24310	1313	2391
AT4G05440	643	1422
AT3G12960	1	375
AT1G17260	257	4840
AT3G16110	1163	3106
AT2G24170	1112	3167
AT1G51560	590	2432
AT1G70390	1	1111
AT2G26150	819	2168
AT3G56220	373	1795
AT4G02060	4106	4955
AT5G55505	1	72
AT5G59910	18472	1285
AT4G00040	361	1452
AT3G13898	40	1172
AT1G05085	4	682
AT1G34270	419	2263
AT5G22580	1163	1036
AT1G30460	1088	4615
AT1G12350	400	2508
AT5G28460	1955	2666
AT1G75630	1941	1851
AT1G10980	271	2711
AT1G49590	770	1950
AT3G05260	8	1613
AT1G54070	2	924
AT2G01090	458	1721
AT4G23540	761	6073
AT2G10690	1	3779
